,ChEMBL ID,Name,Synonyms,Type,Max Phase,Molecular Weight,Targets,Bioactivities,AlogP,Polar Surface Area,HBA,HBD,#RO5 Violations,#Rotatable Bonds,Passes Ro3,QED Weighted,CX Acidic pKa,CX Basic pKa,CX LogP,CX LogD,Aromatic Rings,Structure Type,Inorganic Flag,Heavy Atoms,HBA (Lipinski),HBD (Lipinski),#RO5 Violations (Lipinski),Molecular Weight (Monoisotopic),Molecular Species,Molecular Formula,h_smiles,ch3_smiles
139,CHEMBL1404017,ISOBUTYRALDEHYDE,,Small molecule,0.0,72.11,11.0,18.0,0.84,17.07,1,0,0,1,Y,0.42,None,None,0.86,0.86,0,MOL,-1.0,5,1,0,0,72.0575,NEUTRAL,C4H8O,CC(C)C=O,CCC(C)C=O
141,CHEMBL38737,THIOACETAMIDE,Thioacetamide,Small molecule,0.0,75.14,109.0,1865.0,0.91,23.85,1,2,0,0,Y,0.24,3.33,12.17,-0.06,-0.06,0,MOL,-1.0,4,1,1,0,75.0143,ZWITTERION,C2H5NS,CC(=N)S,CCC(=N)S
143,CHEMBL509273,FLUOROACETATE,2-Fluoroacetic Acid|FLUOROACETATE,Small molecule,1.0,78.04,7.0,11.0,0.04,37.30,1,1,0,1,Y,0.48,3.13,None,-0.15,-3.61,0,MOL,0.0,5,2,1,0,78.0117,ACID,C2H3FO2,O=C(O)CF,O=C(O)C(F)C
144,CHEMBL279512,,3-Methyl-Piperidine,Small molecule,0.0,99.18,1.0,5.0,1.01,12.03,1,1,0,0,Y,0.48,None,10.51,1.02,-1.85,0,MOL,-1.0,7,1,1,0,99.1048,BASE,C6H13N,CC1CCCNC1,CCC1CCCNC1
145,CHEMBL1213531,METHACRYLIC ACID,Methacrylic Acid,Small molecule,0.0,86.09,1.0,1.0,0.65,37.30,1,1,0,1,Y,0.48,4.66,None,0.93,-1.75,0,MOL,-1.0,6,2,1,0,86.0368,ACID,C4H6O2,C=C(C)C(=O)O,CC=C(C)C(=O)O
147,CHEMBL183012,,,Small molecule,0.0,98.15,4.0,5.0,0.38,38.38,2,1,0,0,Y,0.47,None,11.62,-0.14,-2.55,0,MOL,-1.0,7,2,2,0,98.0844,BASE,C5H10N2,CC1CN=C(N)C1,CCC1CN=C(N)C1
148,CHEMBL277871,,2-Methylsulfanyl-Ethanol,Small molecule,0.0,92.16,4.0,5.0,0.34,20.23,2,1,0,2,Y,0.53,None,None,0.27,0.27,0,MOL,-1.0,5,1,1,0,92.0296,NEUTRAL,C3H8OS,CSCCO,CCSCCO
150,CHEMBL2000638,,,Small molecule,0.0,91.11,55.0,55.0,-1.48,52.49,3,3,0,3,Y,0.29,None,8.76,-1.46,-2.83,0,MOL,-1.0,6,3,3,0,91.0633,BASE,C3H9NO2,OCCNCO,C(O)CCNCO
151,CHEMBL122938,METHYL PHOSPHONATE,Methyl Phosphonate|Methyl-Phosphonic Acid,Small molecule,0.0,96.02,12.0,14.0,-0.21,57.53,1,2,0,0,Y,0.41,1.87,None,-1.21,-3.56,0,MOL,-1.0,5,3,2,0,95.9976,ACID,CH5O3P,CP(=O)(O)O,CCP(=O)(O)O
152,CHEMBL1361205,,,Small molecule,0.0,86.09,2.0,2.0,0.32,26.30,2,0,0,0,Y,0.40,None,None,0.28,0.28,0,MOL,-1.0,6,2,0,0,86.0368,NEUTRAL,C4H6O2,CC1CC(=O)O1,CCC1CC(=O)O1
153,CHEMBL116834,,,Small molecule,0.0,91.11,1.0,1.0,-1.70,66.48,3,3,0,2,N,0.38,None,9.23,-1.95,-3.76,0,MOL,-1.0,6,3,4,0,91.0633,BASE,C3H9NO2,NC(CO)CO,C(N)C(CO)CO
154,CHEMBL259526,,Vinyl-Cyanamide,Small molecule,0.0,68.08,62.0,64.0,0.20,35.82,2,1,0,1,Y,0.35,11.10,None,0.29,0.29,0,MOL,-1.0,5,2,1,0,68.0374,NEUTRAL,C3H4N2,C=CNC#N,CC=CNC#N
157,CHEMBL1347061,,,Small molecule,0.0,94.2,4.0,5.0,1.63,0.00,2,0,0,1,Y,0.45,None,None,1.35,1.35,0,MOL,-1.0,4,0,0,0,93.9911,None,C2H6S2,CSSC,CCSSC
158,CHEMBL3187523,,,Small molecule,0.0,91.15,,,0.32,0.00,0,0,0,0,Y,0.36,None,None,-3.97,-3.97,0,MOL,-1.0,5,1,0,0,74.0964,None,C4H13NO,C[N+](C)(C)C.[OH-],CC[N+](C)(C)C.[OH-]
160,CHEMBL117210,,1-Butene|But-1-ene,Small molecule,0.0,56.11,1.0,2.0,1.58,0.00,0,0,0,1,Y,0.40,None,None,1.94,1.94,0,MOL,-1.0,4,0,0,0,56.0626,None,C4H8,C=CCC,CC=CCC
162,CHEMBL140282,ISOPROPYLHYDROXYLAMINE,N-Isopropyl-Hydroxylamine,Small molecule,0.0,75.11,1.0,3.0,0.37,32.26,2,2,0,1,Y,0.44,None,5.08,0.26,0.25,0,MOL,-1.0,5,2,2,0,75.0684,NEUTRAL,C3H9NO,CC(C)NO,CCC(C)NO
163,CHEMBL3184640,,,Small molecule,0.0,89.14,,,-0.28,46.25,2,2,0,2,Y,0.49,None,9.84,-0.38,-2.72,0,MOL,-1.0,6,2,3,0,89.0841,BASE,C4H11NO,CC[C@@H](N)CO,CCC[C@@H](N)CO
164,CHEMBL116336,ETHYNE,Acetylene|Ethyne,Small molecule,0.0,26.04,3.0,5.0,0.25,0.00,0,0,0,0,Y,0.33,None,None,0.15,0.15,0,MOL,-1.0,2,0,0,0,26.0157,None,C2H2,C#C,CC#C
166,CHEMBL1998619,,,Small molecule,0.0,99.09,50.0,50.0,-1.57,67.48,3,2,0,0,N,0.38,11.64,7.06,-1.67,-1.83,0,MOL,-1.0,7,4,3,0,99.0433,NEUTRAL,C3H5N3O,NC1C=NNC1=O,C(N)C1C=NNC1=O
167,CHEMBL166186,,,Small molecule,0.0,99.09,1.0,1.0,0.12,56.46,3,0,0,2,Y,0.28,None,2.92,-0.43,-0.43,0,MOL,-1.0,7,4,0,0,99.0433,NEUTRAL,C3H5N3O,CN(CC#N)N=O,CCN(CC#N)N=O
168,CHEMBL296723,,Amino-Acetaldehyde,Small molecule,0.0,59.07,1.0,1.0,-0.86,43.09,2,1,0,1,Y,0.40,None,7.81,-1.31,-1.86,0,MOL,-1.0,4,2,2,0,59.0371,NEUTRAL,C2H5NO,NCC=O,C(N)CC=O
169,CHEMBL3893497,,,Small molecule,0.0,97.16,1.0,1.0,1.07,26.02,1,1,0,2,Y,0.51,None,9.26,1.17,-0.67,0,MOL,-1.0,7,1,2,0,97.0891,BASE,C6H11N,CCC=C=CCN,CCCC=C=CCN
175,CHEMBL296027,,N-Isopropyl-Formamide,Small molecule,0.0,87.12,6.0,6.0,0.14,29.10,1,1,0,2,Y,0.48,None,None,-0.08,-0.08,0,MOL,-1.0,6,2,1,0,87.0684,NEUTRAL,C4H9NO,CC(C)NC=O,CCC(C)NC=O
178,CHEMBL275626,PROPIONALDEHYDE,Propionaldehyde,Small molecule,0.0,58.08,26.0,54.0,0.60,17.07,1,0,0,1,Y,0.40,None,None,0.32,0.32,0,MOL,-1.0,4,1,0,0,58.0419,NEUTRAL,C3H6O,CCC=O,CCCC=O
179,CHEMBL3183346,,,Small molecule,0.0,76.1,,,-1.56,58.28,3,3,0,2,Y,0.28,None,5.34,-1.50,-1.50,0,MOL,-1.0,5,3,4,0,76.0637,NEUTRAL,C2H8N2O,NNCCO,NNCC(O)C
183,CHEMBL1232589,METHYLETHYLAMINE,,Small molecule,0.0,59.11,1.0,1.0,0.23,12.03,1,1,0,1,Y,0.46,None,10.54,0.16,-2.72,0,MOL,-1.0,4,1,1,0,59.0735,BASE,C3H9N,CCNC,CCCNC
184,CHEMBL116709,,,Small molecule,0.0,72.11,1.0,1.0,0.55,20.23,1,1,0,1,Y,0.45,None,None,0.60,0.60,0,MOL,-1.0,5,1,1,0,72.0575,NEUTRAL,C4H8O,C/C=C\CO,CC/C=C\CO
186,CHEMBL3182300,,,Small molecule,0.0,94.5,,,0.99,26.30,2,0,0,0,Y,0.42,None,None,0.93,0.93,0,MOL,-1.0,5,2,0,0,93.9822,None,C2H3ClO2,COC(=O)Cl,CCOC(=O)Cl
188,CHEMBL1359929,,,Small molecule,0.0,60.1,2.0,2.0,-0.53,38.05,2,2,0,1,Y,0.32,None,5.80,-0.45,-0.46,0,MOL,-1.0,4,2,3,0,60.0687,NEUTRAL,C2H8N2,CCNN,CCCNN
189,CHEMBL174165,,,Small molecule,0.0,88.15,3.0,7.0,-0.45,38.05,2,2,0,3,Y,0.46,None,10.35,-0.93,-4.41,0,MOL,-1.0,6,2,3,0,88.1,BASE,C4H12N2,CNCCCN,CCNCCCN
191,CHEMBL108778,ISOBUTYRIC ACID,Isobutyric Acid,Small molecule,0.0,88.11,4.0,9.0,0.73,37.30,1,1,0,1,Y,0.51,4.87,None,1.02,-1.47,0,MOL,-1.0,6,2,1,0,88.0524,ACID,C4H8O2,CC(C)C(=O)O,CCC(C)C(=O)O
192,CHEMBL3187551,,,Small molecule,0.0,86.09,,,-1.03,40.46,2,2,0,0,Y,0.37,13.94,None,-0.73,-0.73,0,MOL,-1.0,6,2,2,0,86.0368,NEUTRAL,C4H6O2,OCC#CCO,C(O)CC#CCO
193,CHEMBL171623,"1,4-BUTANEDIOL","1,4-Butanediol|Butane-1,4-Diol",Small molecule,0.0,90.12,7.0,10.0,-0.25,40.46,2,2,0,3,Y,0.47,None,None,-0.63,-0.63,0,MOL,-1.0,6,2,2,0,90.0681,NEUTRAL,C4H10O2,OCCCCO,C(O)CCCCO
194,CHEMBL1416448,,,Small molecule,0.0,96.13,3.0,3.0,1.90,13.14,1,0,0,0,Y,0.48,None,None,1.51,1.51,1,MOL,-1.0,7,1,0,0,96.0575,NEUTRAL,C6H8O,Cc1ccc(C)o1,CCc1ccc(C)o1
195,CHEMBL1378095,,,Small molecule,0.0,72.11,3.0,3.0,0.80,12.53,1,0,0,1,Y,0.42,None,None,0.89,0.89,0,MOL,-1.0,5,1,0,0,72.0575,NEUTRAL,C4H8O,CCC1CO1,CCCC1CO1
196,CHEMBL542448,HYDROXYLAMMONIUM CHLORIDE,Hydroxylamine Hydrochloride,Small molecule,0.0,69.49,8.0,15.0,-0.67,46.25,2,2,0,0,Y,0.35,None,3.94,-0.74,-0.74,0,MOL,-1.0,2,2,3,0,33.0215,NEUTRAL,H4ClNO,Cl.NO,CCl.NO
197,CHEMBL269630,ISOBUTANOL,,Small molecule,0.0,74.12,7.0,21.0,0.63,20.23,1,1,0,1,Y,0.48,None,None,0.73,0.73,0,MOL,-1.0,5,1,1,0,74.0732,NEUTRAL,C4H10O,CC(C)CO,CCC(C)CO
200,CHEMBL1697721,CHLORETHANAMINE,Chlorethanamine,Small molecule,0.0,79.53,1.0,1.0,0.53,26.02,1,1,0,0,Y,0.33,None,6.62,0.22,0.15,0,MOL,-1.0,4,1,2,0,79.0189,NEUTRAL,C2H6ClN,CC(N)Cl,CCC(N)Cl
201,CHEMBL30940,METHYLCYCLOPENTANE,Methyl-Cyclopentane|Methylcyclopentane,Small molecule,0.0,84.16,2.0,5.0,2.20,0.00,0,0,0,0,Y,0.42,None,None,2.51,2.51,0,MOL,-1.0,6,0,0,0,84.0939,None,C6H12,CC1CCCC1,CCC1CCCC1
203,CHEMBL3352942,,,Small molecule,0.0,85.11,2.0,3.0,-0.08,29.10,1,1,0,1,Y,0.44,None,None,-0.05,-0.05,0,MOL,-1.0,6,2,1,0,85.0528,NEUTRAL,C4H7NO,C=CC(=O)NC,CC=CC(=O)NC
204,CHEMBL1370850,CYCLOPENTANE,Cyclopentane,Small molecule,0.0,70.14,2.0,2.0,1.95,0.00,0,0,0,0,Y,0.41,None,None,2.22,2.22,0,MOL,-1.0,5,0,0,0,70.0783,None,C5H10,C1CCCC1,CC1CCCC1
205,CHEMBL185198,CYNOOXIDE ANION,Cynooxide Anion,Small molecule,0.0,43.02,5.0,5.0,0.45,27.42,1,0,0,0,Y,0.36,1.12,None,-2.19,-4.56,0,MOL,-1.0,3,2,0,0,43.0058,ACID,CHNO,C#[N+][O-],CC#[N+][O-]
206,CHEMBL14449,ETHYLAMINE,Aminoethane|Ethamine|Monoethylamine,Small molecule,0.0,45.09,3.0,13.0,-0.03,26.02,1,1,0,0,Y,0.41,None,10.23,-0.27,-2.89,0,MOL,-1.0,3,1,2,0,45.0578,BASE,C2H7N,CCN,CCCN
208,CHEMBL327032,,,Small molecule,0.0,89.14,1.0,1.0,-0.28,46.25,2,2,0,2,Y,0.49,None,9.84,-0.38,-2.72,0,MOL,-1.0,6,2,3,0,89.0841,BASE,C4H11NO,CCC(N)CO,CCCC(N)CO
209,CHEMBL27104,,1-Isocyanato-Butane,Small molecule,0.0,99.13,1.0,6.0,1.12,29.43,2,0,0,3,Y,0.30,None,None,1.28,1.28,0,MOL,-1.0,7,2,0,0,99.0684,NEUTRAL,C5H9NO,CCCCN=C=O,CCCCCN=C=O
210,CHEMBL160966,,,Small molecule,0.0,92.57,2.0,2.0,1.88,0.00,0,0,0,1,Y,0.43,None,None,2.08,2.08,0,MOL,-1.0,5,0,0,0,92.0393,None,C4H9Cl,CC(C)CCl,CCC(C)CCl
211,CHEMBL15980,CYCLOHEXANE,CYCLOHEXANE|NSC-406835,Small molecule,1.0,84.16,5.0,14.0,2.34,0.00,0,0,0,0,Y,0.42,None,None,2.67,2.67,0,MOL,0.0,6,0,0,0,84.0939,None,C6H12,C1CCCCC1,CC1CCCCC1
212,CHEMBL164852,,,Small molecule,0.0,88.11,1.0,1.0,0.62,32.67,2,0,0,2,Y,0.37,None,3.42,0.40,0.40,0,MOL,-1.0,6,3,0,0,88.0637,NEUTRAL,C3H8N2O,CCN(C)N=O,CCCN(C)N=O
214,CHEMBL356703,,2-Methyl-Isothiourea|S-Methylisothiourea,Small molecule,0.0,90.15,15.0,15.0,0.24,49.87,2,2,0,0,Y,0.33,None,10.63,0.41,-1.94,0,MOL,-1.0,5,2,3,0,90.0252,BASE,C2H6N2S,CSC(=N)N,CCSC(=N)N
215,CHEMBL2270347,,,Small molecule,0.0,97.12,1.0,6.0,0.45,44.02,2,1,0,2,Y,0.51,None,None,0.05,0.05,0,MOL,-1.0,7,2,1,0,97.0528,NEUTRAL,C5H7NO,C=C[C@@H](O)CC#N,CC=C[C@@H](O)CC#N
217,CHEMBL21533,,4-Methyl-Piperidine,Small molecule,0.0,99.18,1.0,5.0,1.01,12.03,1,1,0,0,Y,0.48,None,10.36,0.94,-1.83,0,MOL,-1.0,7,1,1,0,99.1048,BASE,C6H13N,CC1CCNCC1,CCC1CCNCC1
218,CHEMBL1213529,ACRYLIC ACID,Acrylic Acid,Small molecule,0.0,72.06,6.0,6.0,0.26,37.30,1,1,0,1,Y,0.45,4.52,None,0.53,-2.26,0,MOL,-1.0,5,2,1,0,72.0211,ACID,C3H4O2,C=CC(=O)O,CC=CC(=O)O
221,CHEMBL116902,PROPYNE,Propyne,Small molecule,0.0,40.06,1.0,1.0,0.64,0.00,0,0,0,0,Y,0.35,None,None,0.99,0.99,0,MOL,-1.0,3,0,0,0,40.0313,None,C3H4,C#CC,CC#CC
223,CHEMBL1193103,,,Small molecule,0.0,89.09,2.0,2.0,-0.88,52.32,3,1,0,1,Y,0.42,None,7.09,-1.00,-1.17,0,MOL,-1.0,6,3,2,0,89.0477,NEUTRAL,C3H7NO2,COC(=O)CN,CCOC(=O)CN
224,CHEMBL97965,,,Small molecule,0.0,99.14,1.0,1.0,-0.77,41.29,3,2,0,0,Y,0.42,None,6.41,-0.36,-0.40,0,MOL,-1.0,7,3,3,0,99.0796,NEUTRAL,C4H9N3,CN1C=CNC1N,CCN1C=CNC1N
225,CHEMBL1213530,PROPIOLIC ACID ,Propiolic Acid,Small molecule,0.0,70.05,2.0,7.0,-0.30,37.30,1,1,0,0,Y,0.40,1.99,None,0.18,-3.34,0,MOL,-1.0,5,2,1,0,70.0055,ACID,C3H2O2,C#CC(=O)O,CC#CC(=O)O
226,CHEMBL444965,ETHANEPEROXOIC ACID,Peracetic Acid,Small molecule,0.0,76.05,1.0,6.0,0.02,46.53,3,1,0,0,Y,0.33,7.69,None,-0.30,-0.48,0,MOL,-1.0,5,3,1,0,76.016,NEUTRAL,C2H4O3,CC(=O)OO,CCC(=O)OO
228,CHEMBL4530853,,,,0.0,89.16,1.0,2.0,0.51,3.24,1,0,0,1,Y,0.43,None,None,0.78,0.78,0,MOL,-1.0,5,1,0,0,89.0299,None,C3H7NS,CN(C)C=S,CCN(C)C=S
229,CHEMBL1897156,,,Small molecule,0.0,76.16,3.0,3.0,1.32,0.00,1,1,0,0,Y,0.41,10.12,None,1.40,1.40,0,MOL,-1.0,4,0,0,0,76.0347,NEUTRAL,C3H8S,CC(C)S,CCC(C)S
231,CHEMBL1451833,,,Small molecule,0.0,78.07,19.0,48.0,0.59,47.58,2,0,0,0,Y,0.40,None,None,0.41,0.41,0,MOL,-1.0,6,2,0,0,78.0218,NEUTRAL,C4H2N2,N#C/C=C/C#N,N#C/C(C)=C/C#N
233,CHEMBL177905,,,Small molecule,0.0,86.13,1.0,1.0,1.18,12.53,1,0,0,1,Y,0.44,None,None,1.31,1.31,0,MOL,-1.0,6,1,0,0,86.0732,NEUTRAL,C5H10O,CCC1OC1C,CCCC1OC1C
235,CHEMBL2106398,ISOBUTANE,ISOBUTANE,Small molecule,0.0,58.12,,,1.66,0.00,0,0,0,0,Y,0.40,None,None,2.08,2.08,0,MOL,0.0,4,0,0,0,58.0783,None,C4H10,CC(C)C,CCC(C)C
237,CHEMBL117181,DIETHYL SULFIDE,Diethyl Sulfide|Ethylsulfanyl-Ethane,Small molecule,0.0,90.19,1.0,2.0,1.76,0.00,1,0,0,2,Y,0.50,None,None,1.73,1.73,0,MOL,-1.0,5,0,0,0,90.0503,None,C4H10S,CCSCC,CCCSCC
238,CHEMBL1231396,BUTYRAMIDE,,Small molecule,0.0,87.12,1.0,2.0,0.27,43.09,1,1,0,2,Y,0.52,None,None,0.11,0.11,0,MOL,-1.0,6,2,2,0,87.0684,NEUTRAL,C4H9NO,CCCC(N)=O,CCCCC(N)=O
239,CHEMBL295337,,1-Pentene|Pent-1-ene,Small molecule,0.0,70.14,6.0,7.0,1.97,0.00,0,0,0,2,Y,0.44,None,None,2.38,2.38,0,MOL,-1.0,5,0,0,0,70.0783,None,C5H10,C=CCCC,CC=CCCC
240,CHEMBL4647969,,,,0.0,46.07,2.0,2.0,-1.14,52.04,2,2,0,0,Y,0.34,None,8.56,-1.31,-2.51,0,MOL,-1.0,3,2,4,0,46.0531,BASE,CH6N2,NCN,C(N)CN
241,CHEMBL3276058,,,Small molecule,0.0,96.13,3.0,4.0,1.10,12.53,1,0,0,0,Y,0.32,None,None,1.01,1.01,0,MOL,-1.0,7,1,0,0,96.0575,NEUTRAL,C6H8O,C1=CCC2OC2C1,CC1=CCC2OC2C1
242,CHEMBL324784,FORMALDOXIME,Formaldehyde Oxime,Small molecule,0.0,45.04,1.0,1.0,0.08,32.59,2,1,0,0,Y,0.23,10.94,3.14,-0.46,-0.46,0,MOL,-1.0,3,2,1,0,45.0215,NEUTRAL,CH3NO,C=NO,CC=NO
243,CHEMBL2311071,VINYL CHLORIDE,VINYL CHLORIDE,Small molecule,4.0,62.5,,,1.37,0.00,0,0,0,0,Y,0.40,None,None,1.42,1.42,0,MOL,0.0,3,0,0,0,61.9923,None,C2H3Cl,C=CCl,CC=CCl
244,CHEMBL256368,PENTENAL,2-Pentenal|Pent-2-enal,Small molecule,0.0,84.12,26.0,38.0,1.15,17.07,1,0,0,2,Y,0.36,None,None,1.21,1.21,0,MOL,-1.0,6,1,0,0,84.0575,NEUTRAL,C5H8O,CC/C=C/C=O,CCC/C=C/C=O
247,CHEMBL2001945,,,Small molecule,0.0,85.11,57.0,57.0,-0.19,39.64,0,0,0,1,Y,0.19,8.95,None,-1.99,-1.99,0,MOL,-1.0,6,3,0,0,85.064,NEUTRAL,C3H7N3,CN(C)C=[N+]=[N-],CCN(C)C=[N+]=[N-]
248,CHEMBL3091859,,,Small molecule,0.0,74.08,4.0,6.0,-1.00,55.12,2,2,0,0,Y,0.22,13.18,3.28,-1.33,-1.33,0,MOL,-1.0,5,3,3,0,74.048,NEUTRAL,C2H6N2O,CC(=O)NN,CCC(=O)NN
249,CHEMBL294955,,2-Methyl-Butylamine,Small molecule,0.0,87.17,1.0,1.0,0.99,26.02,1,1,0,2,Y,0.53,None,10.23,1.06,-1.56,0,MOL,-1.0,6,1,2,0,87.1048,BASE,C5H13N,CCC(C)CN,CCCC(C)CN
250,CHEMBL478640,,Alpha-Angelica Lactone,Small molecule,0.0,98.1,1.0,1.0,0.84,26.30,2,0,0,0,Y,0.42,None,None,0.23,0.23,0,MOL,-1.0,7,2,0,0,98.0368,NEUTRAL,C5H6O2,CC1=CCC(=O)O1,CCC1=CCC(=O)O1
251,CHEMBL177264,,Aziridine-2-Carbonitrile,Small molecule,0.0,68.08,2.0,3.0,-0.52,45.73,2,1,0,0,Y,0.39,None,2.61,-0.62,-0.62,0,MOL,-1.0,5,2,1,0,68.0374,NEUTRAL,C3H4N2,N#CC1CN1,N#CC(C)1CN1
253,CHEMBL1964283,,,Small molecule,0.0,86.09,55.0,55.0,-0.22,25.06,2,0,0,1,Y,0.41,None,None,-0.15,-0.15,0,MOL,-1.0,6,2,0,0,86.0368,NEUTRAL,C4H6O2,C1OC1C1CO1,CC1OC1C1CO1
254,CHEMBL1162281,"2,2-DIFLUOROETHANAMINIUM","2,2-Difluoroethanaminium",Small molecule,0.0,81.06,1.0,2.0,0.21,26.02,1,1,0,1,Y,0.48,None,7.54,-0.16,-0.54,0,MOL,-1.0,5,1,2,0,81.039,NEUTRAL,C2H5F2N,NCC(F)F,C(N)CC(F)F
255,CHEMBL3184439,,,Small molecule,0.0,84.12,6.0,6.0,1.31,9.23,1,0,0,0,Y,0.43,None,None,0.99,0.99,0,MOL,-1.0,6,1,0,0,84.0575,NEUTRAL,C5H8O,C1=COCCC1,CC1=COCCC1
256,CHEMBL462547,URETHANE,ETHYL CARBAMATE|URETHAN|URETHANE,Small molecule,4.0,89.09,116.0,706.0,0.10,52.32,2,1,0,1,Y,0.50,None,None,-0.05,-0.05,0,MOL,0.0,6,3,2,0,89.0477,NEUTRAL,C3H7NO2,CCOC(N)=O,CCCOC(N)=O
257,CHEMBL2229658,,,Small molecule,0.0,95.1,4.0,8.0,0.83,32.86,1,1,0,1,Y,0.51,None,None,0.69,0.69,1,MOL,-1.0,7,2,1,0,95.0371,NEUTRAL,C5H5NO,O=Cc1ccc[nH]1,O=C(C)c1ccc[nH]1
261,CHEMBL117545,CHLOROMETHANE,Chloromethane,Small molecule,0.0,50.49,1.0,1.0,0.85,0.00,0,0,0,0,Y,0.36,None,None,0.84,0.84,0,MOL,-1.0,2,0,0,0,49.9923,None,CH3Cl,CCl,CCCl
265,CHEMBL1190279,,,Small molecule,0.0,79.53,,,0.18,26.02,1,1,0,1,Y,0.45,None,9.06,0.04,-1.61,0,MOL,-1.0,4,1,2,0,79.0189,BASE,C2H6ClN,NCCCl,C(N)CCCl
268,CHEMBL22830,PYRROLIDINE,Pyrrolidine,Small molecule,0.0,71.12,5.0,15.0,0.37,12.03,1,1,0,0,Y,0.43,None,11.40,0.21,-2.96,0,MOL,-1.0,5,1,1,0,71.0735,BASE,C4H9N,C1CCNC1,CC1CCNC1
270,CHEMBL4470154,,,,0.0,96.08,1.0,1.0,0.63,20.23,1,1,0,2,Y,0.53,None,None,0.22,0.22,0,MOL,-1.0,6,1,1,0,96.0387,NEUTRAL,C3H6F2O,OCCC(F)F,C(O)CCC(F)F
271,CHEMBL3352944,,,Small molecule,0.0,97.12,1.0,2.0,0.01,20.31,1,0,0,0,Y,0.42,9.81,None,-0.20,-0.20,0,MOL,-1.0,7,2,0,0,97.0528,NEUTRAL,C5H7NO,CN1CC=CC1=O,CCN1CC=CC1=O
272,CHEMBL163675,,,Small molecule,0.0,90.08,1.0,1.0,0.16,41.90,3,0,0,2,Y,0.36,None,None,0.19,0.19,0,MOL,-1.0,6,4,0,0,90.0429,NEUTRAL,C2H6N2O2,CON(C)N=O,CCON(C)N=O
273,CHEMBL1529759,,,Small molecule,0.0,67.09,6.0,14.0,1.09,23.79,1,0,0,0,Y,0.39,None,None,1.15,1.15,0,MOL,-1.0,5,1,0,0,67.0422,None,C4H5N,C=C(C)C#N,CC=C(C)C#N
275,CHEMBL3275944,,,Small molecule,0.0,82.11,1.0,2.0,0.72,28.68,1,1,0,0,Y,0.49,None,3.58,0.41,0.41,1,MOL,-1.0,6,2,1,0,82.0531,NEUTRAL,C4H6N2,Cc1cc[nH]n1,CCc1cc[nH]n1
276,CHEMBL175201,,,Small molecule,0.0,88.11,3.0,7.0,-1.53,69.11,3,2,0,2,N,0.43,None,7.79,-1.74,-2.30,0,MOL,-1.0,6,3,4,0,88.0637,NEUTRAL,C3H8N2O,NCC(=O)CN,C(N)CC(=O)CN
277,CHEMBL268291,DIMETHYLFORMAMIDE,,Small molecule,0.0,73.1,127.0,1592.0,-0.30,20.31,1,0,0,1,Y,0.39,None,None,-0.63,-0.63,0,MOL,-1.0,5,2,0,0,73.0528,NEUTRAL,C3H7NO,CN(C)C=O,CCN(C)C=O
278,CHEMBL2287517,,,Small molecule,0.0,88.11,1.0,4.0,-0.23,29.46,2,1,0,0,Y,0.44,None,None,-0.62,-0.62,0,MOL,-1.0,6,2,1,0,88.0524,NEUTRAL,C4H8O2,OC1CCOC1,C(O)C1CCOC1
279,CHEMBL1086445,CROTONALDEHYDE,Crotonaldehyde,Small molecule,0.0,70.09,4.0,6.0,0.76,17.07,1,0,0,1,Y,0.33,None,None,0.76,0.76,0,MOL,-1.0,5,1,0,0,70.0419,NEUTRAL,C4H6O,C/C=C/C=O,CC/C=C/C=O
280,CHEMBL144761,,N-Methyl-Hydroxylamine|N-Methylhydroxylamine,Small molecule,0.0,47.06,2.0,9.0,-0.41,32.26,2,2,0,0,Y,0.36,None,4.89,-0.52,-0.52,0,MOL,-1.0,3,2,2,0,47.0371,NEUTRAL,CH5NO,CNO,CCNO
282,CHEMBL1524256,,,Small molecule,0.0,87.17,1.0,1.0,0.96,3.24,1,0,0,1,Y,0.46,None,9.98,0.96,-1.57,0,MOL,-1.0,6,1,0,0,87.1048,BASE,C5H13N,CC(C)N(C)C,CCC(C)N(C)C
283,CHEMBL1548726,,1-Hexene,Small molecule,0.0,84.16,4.0,5.0,2.36,0.00,0,0,0,3,Y,0.36,None,None,2.83,2.83,0,MOL,-1.0,6,0,0,0,84.0939,None,C6H12,C=CCCCC,CC=CCCCC
285,CHEMBL450353,TRIMIDINE,Trimidine,Small molecule,0.0,99.14,2.0,2.0,-1.57,36.09,3,3,0,0,Y,0.34,None,6.97,-0.61,-0.75,0,MOL,-1.0,7,3,3,0,99.0796,NEUTRAL,C4H9N3,C1NC2CNC1N2,CC1NC2CNC1N2
286,CHEMBL3352958,,,Small molecule,0.0,99.13,1.0,1.0,0.31,29.10,1,1,0,1,Y,0.47,None,None,0.34,0.34,0,MOL,-1.0,7,2,1,0,99.0684,NEUTRAL,C5H9NO,C/C=C/C(=O)NC,CC/C=C/C(=O)NC
288,CHEMBL56973,GUANAZOLE,Guanazole,Small molecule,0.0,99.1,75.0,75.0,-1.03,93.61,4,3,0,0,N,0.39,13.63,4.84,-0.70,-0.71,1,MOL,-1.0,7,5,5,0,99.0545,NEUTRAL,C2H5N5,Nc1n[nH]c(N)n1,C(N)c1n[nH]c(N)n1
